control_id,title,page,chapter,profile_scope,level,automated,status_impl,status_tested,status_validated,notes
3.2.6,Ensure tipc kernel module is not available (Automated),396,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.1.1,Ensure net.ipv4.ip_forward is configured (Automated),402,3,Workstation:Level 1;Server:Level 2,Level 1,Automated,OK,OK,,
3.3.1.2,Ensure net.ipv4.conf.all.forwarding is configured (Automated),406,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.1.3,Ensure net.ipv4.conf.default.forwarding is configured (Automated),411,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.1.4,Ensure net.ipv4.conf.all.send_redirects is configured (Automated),415,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.1.5,Ensure net.ipv4.conf.default.send_redirects is configured (Automated),419,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.1.6,Ensure net.ipv4.icmp_ignore_bogus_error_responses is configured (Automated),423,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.1.7,Ensure net.ipv4.icmp_echo_ignore_broadcasts is configured (Automated),427,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.1.8,Ensure net.ipv4.conf.all.accept_redirects is configured (Automated),431,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.1.9,Ensure net.ipv4.conf.default.accept_redirects is configured (Automated),435,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.1.10,Ensure net.ipv4.conf.all.secure_redirects is configured (Automated),439,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.1.11,Ensure net.ipv4.conf.default.secure_redirects is configured (Automated),443,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.1.12,Ensure net.ipv4.conf.all.rp_filter is configured (Automated),447,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.1.13,Ensure net.ipv4.conf.default.rp_filter is configured (Automated),451,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.1.14,Ensure net.ipv4.conf.all.accept_source_route is configured (Automated),455,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.1.15,Ensure net.ipv4.conf.default.accept_source_route is configured (Automated),459,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.1.16,Ensure net.ipv4.conf.all.log_martians is configured (Automated),463,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.1.17,Ensure net.ipv4.conf.default.log_martians is configured (Automated),467,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.1.18,Ensure net.ipv4.tcp_syncookies is configured (Automated),471,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.2.1,Ensure net.ipv6.conf.all.forwarding is configured (Automated),476,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.2.2,Ensure net.ipv6.conf.default.forwarding is configured (Automated),480,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.2.3,Ensure net.ipv6.conf.all.accept_redirects is configured (Automated),484,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.2.4,Ensure net.ipv6.conf.default.accept_redirects is configured (Automated),488,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.2.5,Ensure net.ipv6.conf.all.accept_source_route is configured (Automated),492,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.2.6,Ensure net.ipv6.conf.default.accept_source_route is configured (Automated),496,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.2.7,Ensure net.ipv6.conf.all.accept_ra is configured (Automated),500,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
3.3.2.8,Ensure net.ipv6.conf.default.accept_ra is configured (Automated),504,3,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
4.1.1,Ensure ufw is installed (Automated),510,4,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
4.1.2,Ensure ufw service is configured (Automated),512,4,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
4.1.3,Ensure ufw incoming default is configured (Automated),515,4,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
4.1.4,Ensure ufw outgoing default is configured (Automated),517,4,Server:Level 2;Workstation:Level 2,Level 2,Automated,OK,OK,,
4.1.5,Ensure ufw routed default is configured (Automated),519,4,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.1,Ensure access to /etc/ssh/sshd_config is configured (Automated),524,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.2,Ensure access to SSH private host key files is configured (Automated),526,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.3,Ensure access to SSH public host key files is configured (Automated),529,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.4,Ensure sshd access is configured (Automated),531,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.5,Ensure sshd Banner is configured (Automated),534,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.6,Ensure sshd Ciphers are configured (Automated),536,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.7,Ensure sshd ClientAliveInterval and ClientAliveCountMax are configured (Automated),539,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.8,Ensure sshd DisableForwarding is enabled (Automated),542,5,Workstation:Level 1;Server:Level 2,Level 1,Automated,OK,OK,,
5.1.9,Ensure sshd GSSAPIAuthentication is disabled (Automated),544,5,Workstation:Level 1;Server:Level 2,Level 1,Automated,OK,OK,,
5.1.10,Ensure sshd HostbasedAuthentication is disabled (Automated),546,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.11,Ensure sshd IgnoreRhosts is enabled (Automated),548,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.12,Ensure sshd KexAlgorithms is configured (Automated),550,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.13,Ensure sshd post-quantum cryptography key exchange algorithms are configured (Automated),552,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.14,Ensure sshd LoginGraceTime is configured (Automated),555,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.15,Ensure sshd LogLevel is configured (Automated),557,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.16,Ensure sshd MACs are configured (Automated),559,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.17,Ensure sshd MaxAuthTries is configured (Automated),562,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.18,Ensure sshd MaxSessions is configured (Automated),564,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.19,Ensure sshd MaxStartups is configured (Automated),566,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.20,Ensure sshd PermitEmptyPasswords is disabled (Automated),567,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.21,Ensure sshd PermitRootLogin is disabled (Automated),569,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.22,Ensure sshd PermitUserEnvironment is disabled (Automated),571,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.1.23,Ensure sshd UsePAM is enabled (Automated),573,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.2.1,Ensure sudo is installed (Automated),576,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.2.2,Ensure sudo commands use pty (Automated),578,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.2.3,Ensure sudo log file exists (Automated),580,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
5.2.4,Ensure users must provide password for escalation (Automated),582,5,Server:Level 2;Workstation:Level 2,Level 2,Automated,OK,OK,,
5.2.5,Ensure re-authentication for privilege escalation is not disabled globally (Automated),584,5,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
