"ControlId","Title","Status","ExpectedValue","ActualValue","Notes","Hostname","Timestamp"
"18.9.29.6","Ensure 'Turn on convenience PIN sign-in' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:35.7741622-07:00"
"18.9.31.1.1","Ensure 'Block NetBIOS-based discovery for domain controller location' is set to 'Enabled'","ManualReviewRequired","","","No se identifico con certeza la clave de registro para este control. Verificar manualmente antes de automatizar.","DC01","2026-07-14T10:54:35.7761750-07:00"
"18.9.33.1","Ensure 'Allow Clipboard synchronization across devices' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:35.7795885-07:00"
"18.9.33.2","Ensure 'Allow upload of User Activities' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:35.7851661-07:00"
"18.9.35.6.1","Ensure 'Allow network connectivity during connected-standby (on battery)' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:35.7935184-07:00"
"18.9.35.6.2","Ensure 'Allow network connectivity during connected-standby (plugged in)' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:35.8012133-07:00"
"18.9.35.6.3","Ensure 'Require a password when a computer wakes (on battery)' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.8108010-07:00"
"18.9.35.6.4","Ensure 'Require a password when a computer wakes (plugged in)' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.8187905-07:00"
"18.9.37.1","Ensure 'Configure Offer Remote Assistance' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:35.8228293-07:00"
"18.9.37.2","Ensure 'Configure Solicited Remote Assistance' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:35.8258225-07:00"
"18.9.38.1","Ensure 'Enable RPC Endpoint Mapper Client Authentication' is set to 'Enabled' (MS only)","NotApplicable","","","Control marcado (MS only) en el benchmark; este equipo no es MS.","DC01","2026-07-14T10:54:35.8713874-07:00"
"18.9.38.2","Ensure 'Restrict Unauthenticated RPC clients' is set to 'Enabled: Authenticated' (MS only)","NotApplicable","","","Control marcado (MS only) en el benchmark; este equipo no es MS.","DC01","2026-07-14T10:54:35.9211963-07:00"
"18.9.41.1","Ensure 'Configure validation of ROCA-vulnerable WHfB keys during authentication' is set to 'Enabled: Block' (DC only)","ManualReviewRequired","","","No se identifico con certeza la clave de registro para este control. Verificar manualmente antes de automatizar.","DC01","2026-07-14T10:54:35.9659238-07:00"
"18.9.41.2","Ensure 'Configure SAM change password RPC methods policy' is set to 'Enabled: Allow strong encryption change password RPC method only' (DC only)","ManualReviewRequired","","","No se identifico con certeza la clave de registro para este control. Verificar manualmente antes de automatizar.","DC01","2026-07-14T10:54:36.0115226-07:00"
"18.9.41.3","Ensure 'Configure SAM change password RPC methods policy' is set to 'Enabled: Block all change password RPC methods' (MS only)","NotApplicable","","","Control (MS only).","DC01","2026-07-14T10:54:36.0584394-07:00"
"18.9.49.5.1","Ensure 'Microsoft Support Diagnostic Tool: Turn on MSDT interactive communication with support provider' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:36.0689060-07:00"
"18.9.49.11.1","Ensure 'Enable/Disable PerfTrack' is set to 'Disabled'","Fail","1 (PerfTrack deshabilitado)","","","DC01","2026-07-14T10:54:36.0756336-07:00"
"18.9.51.1","Ensure 'Turn off the advertising ID' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:36.0814573-07:00"
"18.9.53.1.1","Ensure 'Enable Windows NTP Client' is set to 'Enabled'","Pass","1 (Enabled)","1","","DC01","2026-07-14T10:54:36.0860731-07:00"
"18.9.53.1.2","Ensure 'Enable Windows NTP Server' is set to 'Disabled' (MS only)","NotApplicable","","","Control marcado (MS only) en el benchmark; este equipo no es MS.","DC01","2026-07-14T10:54:36.1337978-07:00"
"18.10.4.1","Ensure 'Allow a Windows app to share application data between users' is set to 'Disabled'","Fail","2 (Force Deny)","","","DC01","2026-07-14T10:54:36.1392504-07:00"
"18.10.4.2","Ensure 'Not allow per-user unsigned packages to install by default (requires explicitly allow per install)' is set to 'Enabled'","Fail","0","","","DC01","2026-07-14T10:54:36.1428677-07:00"
"18.10.6.1","Ensure 'Allow Microsoft accounts to be optional' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:36.1502135-07:00"
"18.10.8.1","Ensure 'Disallow Autoplay for non-volume devices' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:36.1531734-07:00"
"18.10.8.2","Ensure 'Set the default behavior for AutoRun' is set to 'Enabled: Do not execute any autorun commands'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:36.1591809-07:00"
"18.10.8.3","Ensure 'Turn off Autoplay' is set to 'Enabled: All drives'","Fail","255 (All drives)","","","DC01","2026-07-14T10:54:36.1626373-07:00"
"18.10.9.1.1","Ensure 'Configure enhanced anti-spoofing' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:36.1705331-07:00"
"18.10.11.1","Ensure 'Allow Use of Camera' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:36.1745167-07:00"
"18.10.13.1","Ensure 'Turn off cloud consumer account state content' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:36.1805027-07:00"
"18.10.13.2","Ensure 'Turn off cloud optimized content' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:36.1887688-07:00"
"18.10.14.1","Ensure 'Require pin for pairing' is set to 'Enabled: First Time' OR 'Enabled: Always'","Fail","1 (First Time) o 2 (Always)","","","DC01","2026-07-14T10:54:36.1948595-07:00"
"18.10.15.1","Ensure 'Do not display the password reveal button' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:36.2019006-07:00"
"18.10.15.2","Ensure 'Enumerate administrator accounts on elevation' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:36.2071943-07:00"
"18.10.16.1","Ensure 'Allow Diagnostic Data' is set to 'Enabled: Diagnostic data off (not recommended)' or 'Enabled: Send required diagnostic data'","Fail","0 o 1","","","DC01","2026-07-14T10:54:36.2094352-07:00"
"18.10.16.2","Ensure 'Configure Authenticated Proxy usage for the Connected User Experience and Telemetry service' is set to 'Enabled: Disable Authenticated Proxy usage'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:36.2128598-07:00"
"18.10.16.3","Ensure 'Do not show feedback notifications' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:36.2154088-07:00"
"18.10.16.4","Ensure 'Enable OneSettings Auditing' is set to 'Enabled'","ManualReviewRequired","","","Control nuevo; no se identifico con certeza la clave de registro. Verificar manualmente antes de automatizar.","DC01","2026-07-14T10:54:36.2189541-07:00"
"18.10.16.5","Ensure 'Limit Diagnostic Log Collection' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:36.2244166-07:00"
"18.10.16.6","Ensure 'Limit Dump Collection' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:36.2274497-07:00"
"18.10.18.1","Ensure 'Enable App Installer' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:36.2334659-07:00"
"18.10.18.2","Ensure 'Enable App Installer Experimental Features' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:36.2394360-07:00"
"18.10.18.3","Ensure 'Enable App Installer Hash Override' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:36.2463626-07:00"
"18.10.18.4","Ensure 'Enable App Installer Local Archive Malware Scan Override' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:36.2529827-07:00"
"18.10.18.5","Ensure 'Enable App Installer ms-appinstaller protocol' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:36.2595293-07:00"
"18.10.18.6","Ensure 'Enable App Installer Microsoft Store Source Certificate Validation Bypass' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:36.2660589-07:00"
"18.10.18.7","Ensure 'Enable Windows Package Manager command line interfaces' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:36.2726619-07:00"
